time,as0,as3356,as9008,as13030,as15169,as16276,as36692,as37560,as43350,as60781,total
2015-09-15T23:09:36Z,0.10646,0.01218,0.00626,0.02871,0.33751,0.11376,0.00275,0.00996,0.01334,0.01355,0.64448
2015-09-17T01:15:53Z,0.12954,0.00778,0.00011,0.02150,0.32644,0.10016,0.00211,0.01015,0.01867,0.01029,0.62675
2015-09-18T01:59:57Z,0.10494,0.01129,0.00864,0.02943,0.32183,0.10727,0.00514,0.01100,0.02480,0.02222,0.64656
2015-09-19T01:59:54Z,0.11107,0.01036,0.00012,0.01723,0.33329,0.10925,0.00763,0.01095,0.01749,0.01521,0.63260
2015-09-20T01:59:50Z,0.10641,0.00926,0.00014,0.02038,0.34403,0.12432,0.00854,0.01042,0.01755,0.02579,0.66684
2015-09-20T23:22:55Z,0.11305,0.01549,0.00025,0.02237,0.32757,0.11309,0.00867,0.01023,0.02268,0.02207,0.65547
2015-09-22T01:59:43Z,0.11171,0.01171,0.00047,0.04243,0.30164,0.12219,0.00231,0.01102,0.01394,0.01395,0.63137
2015-09-23T01:30:17Z,0.10886,0.01142,0.00039,0.03735,0.32673,0.11047,0.00170,0.01102,0.02251,0.02207,0.65252
2015-09-24T01:36:51Z,0.12856,0.00809,0.00005,0.05118,0.31956,0.11356,0.00962,0.01116,0.02158,0.02364,0.68700
2015-09-25T00:13:48Z,0.11951,0.01406,0.00757,0.04642,0.31523,0.11605,0.00395,0.00970,0.01786,0.02651,0.67686
2015-09-26T01:23:26Z,0.12414,0.00775,0.00012,0.05822,0.33132,0.11005,0.00349,0.00865,0.01349,0.01701,0.67424
2015-09-27T01:59:24Z,0.10808,0.01002,0.00015,0.02884,0.33077,0.11213,0.00724,0.00000,0.02884,0.03243,0.65850
2015-09-29T00:47:14Z,0.10994,0.01118,0.00717,0.02063,0.31839,0.14129,0.00173,0.00415,0.02336,0.02449,0.66233
2015-09-30T01:02:17Z,0.14694,0.01181,0.00012,0.02459,0.30318,0.12686,0.01388,0.00603,0.02199,0.01902,0.67442
2015-10-01T01:59:08Z,0.09736,0.01420,0.00020,0.01339,0.29951,0.13424,0.00447,0.00630,0.02884,0.02108,0.61959
2015-10-02T01:12:52Z,0.11159,0.01039,0.00842,0.01884,0.29731,0.13178,0.00857,0.00610,0.02151,0.03224,0.64675
2015-10-03T01:27:47Z,0.11377,0.00364,0.00027,0.01039,0.32771,0.13567,0.00259,0.00626,0.02643,0.03091,0.65764
2015-10-04T01:58:56Z,0.11168,0.00584,0.00053,0.02308,0.30375,0.12104,0.01127,0.00660,0.02693,0.02231,0.63303
2015-10-05T01:59:00Z,0.13446,0.01069,0.00712,0.01312,0.31005,0.11753,0.01355,0.00620,0.02129,0.02184,0.65585
2015-10-06T01:56:07Z,0.09795,0.02569,0.00052,0.01216,0.34157,0.11930,0.00385,0.00624,0.01723,0.04295,0.66746
2015-10-07T01:58:41Z,0.12073,0.01101,0.00070,0.01801,0.31836,0.13139,0.00344,0.00677,0.01798,0.03272,0.66111
2015-10-08T01:58:38Z,0.11228,0.01027,0.00067,0.02720,0.28239,0.13328,0.00424,0.00680,0.02460,0.03062,0.63235
2015-10-09T01:58:38Z,0.10116,0.00919,0.00065,0.01024,0.29442,0.12478,0.01408,0.00720,0.01304,0.05275,0.62751
2015-10-10T01:58:39Z,0.10715,0.01325,0.00038,0.01538,0.32354,0.11907,0.00384,0.00707,0.00873,0.04012,0.63853
2015-10-11T01:58:38Z,0.11687,0.02918,0.00736,0.01519,0.30379,0.12896,0.00610,0.00696,0.01867,0.04524,0.67832
2015-10-12T01:58:38Z,0.09536,0.02259,0.00060,0.01234,0.31127,0.12302,0.01546,0.00629,0.02425,0.02681,0.63799
2015-10-13T01:58:39Z,0.13098,0.01167,0.00050,0.01058,0.30707,0.13042,0.00810,0.00648,0.02736,0.04427,0.67743
2015-10-14T01:58:38Z,0.12178,0.01075,0.00038,0.02517,0.32276,0.12369,0.00370,0.00664,0.03217,0.03235,0.67939
2015-10-15T01:58:38Z,0.11518,0.01438,0.00686,0.02109,0.29930,0.10097,0.00214,0.00682,0.01271,0.04076,0.62021
2015-10-16T01:58:38Z,0.11012,0.02195,0.00039,0.03463,0.30087,0.08861,0.00400,0.00707,0.01653,0.03483,0.61900
2015-10-17T01:58:38Z,0.11360,0.01248,0.00851,0.01821,0.32359,0.09272,0.00241,0.00721,0.02581,0.04157,0.64611
2015-10-18T01:58:38Z,0.10070,0.02355,0.00088,0.01941,0.28561,0.09803,0.00873,0.00710,0.02866,0.03810,0.61077
2015-10-19T01:58:38Z,0.11712,0.01144,0.00125,0.01739,0.33707,0.08488,0.00435,0.00714,0.02757,0.03023,0.63844
2015-10-20T01:58:38Z,0.12897,0.02488,0.00130,0.02278,0.28643,0.07848,0.00403,0.00696,0.01490,0.04923,0.61796
2015-10-21T01:58:38Z,0.09850,0.02181,0.00242,0.02719,0.34489,0.09396,0.00397,0.00724,0.02009,0.04109,0.66116
2015-10-22T01:58:38Z,0.10733,0.00673,0.00241,0.01242,0.34407,0.08801,0.00242,0.00723,0.03102,0.04238,0.64402
2015-10-23T01:58:38Z,0.09249,0.01022,0.00283,0.01707,0.29563,0.08594,0.00339,0.00735,0.02192,0.03722,0.57406
2015-10-24T01:58:38Z,0.12285,0.01837,0.01202,0.01668,0.28077,0.08240,0.02926,0.00732,0.02544,0.02107,0.61618
2015-10-25T02:33:28Z,0.13084,0.00956,0.00292,0.01791,0.26075,0.08434,0.01398,0.00738,0.02180,0.02424,0.57372
2015-10-26T02:48:27Z,0.14188,0.00389,0.01123,0.01458,0.32438,0.08180,0.01476,0.00717,0.02179,0.01806,0.63954
2015-10-27T02:57:22Z,0.12771,0.00914,0.00297,0.02221,0.32439,0.07535,0.00571,0.00783,0.02655,0.01192,0.61378
