pct,k1-ctw,k1-hp,k1-wf,k2-ctw,k2-hp,k2-wf
0,0.000,0.000,0.536,0.000,0.000,0.859
5,0.532,0.875,0.536,0.738,0.979,0.859
10,0.573,0.864,0.536,0.761,0.971,0.859
15,0.600,0.858,0.536,0.771,0.965,0.859
20,0.648,0.856,0.536,0.829,0.972,0.859
25,0.668,0.874,0.536,0.836,0.973,0.859
30,0.669,0.873,0.536,0.845,0.971,0.859
35,0.666,0.856,0.536,0.847,0.967,0.859
40,0.703,0.872,0.536,0.866,0.973,0.859
45,0.693,0.852,0.536,0.886,0.969,0.859
50,0.702,0.852,0.536,0.883,0.970,0.859
55,0.722,0.860,0.536,0.882,0.966,0.859
60,0.734,0.868,0.536,0.905,0.970,0.859
65,0.727,0.857,0.536,0.899,0.968,0.859
70,0.729,0.853,0.536,0.907,0.968,0.859
75,0.745,0.855,0.536,0.911,0.966,0.859
80,0.740,0.845,0.536,0.920,0.968,0.859
85,0.753,0.852,0.536,0.920,0.967,0.859
90,0.765,0.859,0.536,0.924,0.969,0.859
95,0.769,0.854,0.536,0.930,0.968,0.859
100,0.763,0.848,0.536,0.931,0.968,0.859
