pct,k1-ctw,k1-hp,k1-wf,k2-ctw,k2-hp,k2-wf
0,0.000,0.000,0.631,0.000,0.000,0.545
5,0.039,0.035,0.631,0.034,0.030,0.545
10,0.080,0.072,0.631,0.070,0.062,0.545
15,0.118,0.106,0.631,0.103,0.092,0.545
20,0.155,0.139,0.631,0.136,0.120,0.545
25,0.192,0.173,0.631,0.168,0.149,0.545
30,0.229,0.208,0.631,0.200,0.180,0.545
35,0.267,0.244,0.631,0.233,0.211,0.545
40,0.295,0.270,0.631,0.258,0.232,0.545
45,0.328,0.301,0.631,0.286,0.260,0.545
50,0.360,0.330,0.631,0.314,0.285,0.545
55,0.393,0.361,0.631,0.342,0.311,0.545
60,0.424,0.391,0.631,0.370,0.337,0.545
65,0.450,0.417,0.631,0.392,0.359,0.545
70,0.481,0.447,0.631,0.418,0.386,0.545
75,0.514,0.477,0.631,0.447,0.412,0.545
80,0.540,0.503,0.631,0.471,0.434,0.545
85,0.568,0.529,0.631,0.494,0.456,0.545
90,0.594,0.554,0.631,0.517,0.478,0.545
95,0.622,0.579,0.631,0.541,0.501,0.545
100,0.645,0.604,0.631,0.562,0.521,0.545
