pct,wf,hp,hr,merge,ctw-open
0,0.691,0.000,0.691,0.000,0.000
5,0.677,0.247,0.700,0.270,0.247
10,0.684,0.264,0.709,0.289,0.264
15,0.684,0.284,0.709,0.309,0.284
20,0.690,0.301,0.721,0.332,0.301
25,0.678,0.316,0.708,0.346,0.317
30,0.678,0.343,0.713,0.378,0.344
35,0.687,0.379,0.724,0.416,0.379
40,0.688,0.378,0.729,0.419,0.380
45,0.683,0.390,0.734,0.441,0.391
50,0.676,0.413,0.726,0.463,0.413
55,0.681,0.450,0.730,0.499,0.450
60,0.677,0.472,0.720,0.515,0.472
65,0.680,0.498,0.735,0.553,0.499
70,0.675,0.505,0.735,0.565,0.507
75,0.674,0.533,0.732,0.591,0.534
80,0.686,0.559,0.747,0.620,0.560
85,0.688,0.582,0.763,0.657,0.583
90,0.691,0.608,0.754,0.671,0.609
95,0.681,0.614,0.754,0.687,0.614
100,0.681,0.638,0.755,0.712,0.639
