2016/07/02 19:11:53 experiment close-the-world-open
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.000,0.000,0.000,0.000,0.500
5,0.247,0.055,0.826,0.379,0.597
10,0.264,0.059,0.821,0.399,0.605
15,0.284,0.059,0.832,0.423,0.614
20,0.301,0.060,0.840,0.441,0.623
25,0.317,0.061,0.841,0.459,0.629
30,0.344,0.055,0.868,0.490,0.646
35,0.379,0.054,0.878,0.528,0.664
40,0.380,0.061,0.865,0.527,0.661
45,0.391,0.053,0.884,0.538,0.670
50,0.413,0.049,0.898,0.563,0.683
55,0.450,0.056,0.891,0.597,0.699
60,0.472,0.053,0.899,0.618,0.711
65,0.499,0.058,0.898,0.640,0.722
70,0.507,0.053,0.906,0.649,0.728
75,0.534,0.051,0.914,0.673,0.742
80,0.560,0.052,0.916,0.694,0.756
85,0.583,0.056,0.915,0.711,0.764
90,0.609,0.055,0.919,0.732,0.778
95,0.614,0.057,0.916,0.734,0.779
100,0.639,0.057,0.920,0.753,0.792

2016/07/02 19:11:53 experiment two-classifier-high-precision
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.000,0.000,0.000,0.000,0.500
5,0.247,0.048,0.844,0.381,0.600
10,0.264,0.053,0.835,0.401,0.606
15,0.284,0.054,0.843,0.424,0.616
20,0.301,0.051,0.859,0.444,0.625
25,0.316,0.055,0.854,0.460,0.630
30,0.343,0.050,0.878,0.491,0.647
35,0.379,0.047,0.892,0.531,0.667
40,0.378,0.053,0.879,0.528,0.663
45,0.390,0.048,0.893,0.539,0.672
50,0.413,0.045,0.906,0.565,0.684
55,0.450,0.052,0.898,0.599,0.700
60,0.472,0.048,0.907,0.620,0.713
65,0.498,0.054,0.904,0.641,0.722
70,0.505,0.048,0.914,0.649,0.729
75,0.533,0.048,0.919,0.674,0.743
80,0.559,0.048,0.921,0.695,0.757
85,0.582,0.050,0.924,0.713,0.766
90,0.608,0.050,0.925,0.733,0.780
95,0.614,0.053,0.921,0.736,0.781
100,0.638,0.051,0.927,0.755,0.794

2016/07/02 19:11:53 experiment two-classifier-merge
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.000,0.000,0.000,0.000,0.500
5,0.270,0.094,0.748,0.396,0.591
10,0.289,0.096,0.753,0.417,0.600
15,0.309,0.098,0.765,0.439,0.608
20,0.332,0.096,0.782,0.465,0.621
25,0.346,0.094,0.792,0.480,0.628
30,0.378,0.090,0.812,0.513,0.647
35,0.416,0.097,0.815,0.550,0.662
40,0.419,0.098,0.813,0.552,0.663
45,0.441,0.087,0.837,0.574,0.679
50,0.463,0.095,0.833,0.593,0.687
55,0.499,0.102,0.832,0.623,0.702
60,0.515,0.090,0.853,0.641,0.715
65,0.553,0.101,0.848,0.668,0.729
70,0.565,0.089,0.864,0.683,0.741
75,0.591,0.093,0.867,0.702,0.752
80,0.620,0.093,0.871,0.724,0.767
85,0.657,0.099,0.871,0.748,0.782
90,0.671,0.093,0.880,0.761,0.792
95,0.687,0.100,0.874,0.769,0.796
100,0.712,0.104,0.875,0.784,0.806


2016/07/02 19:11:53 experiment wf
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.691,0.154,0.819,0.749,0.789
5,0.677,0.163,0.807,0.736,0.780
10,0.684,0.173,0.799,0.737,0.781
15,0.684,0.181,0.791,0.733,0.778
20,0.690,0.169,0.806,0.742,0.783
25,0.678,0.170,0.801,0.733,0.777
30,0.678,0.158,0.813,0.738,0.782
35,0.687,0.164,0.808,0.742,0.786
40,0.688,0.160,0.813,0.744,0.786
45,0.683,0.166,0.806,0.738,0.781
50,0.676,0.160,0.810,0.736,0.783
55,0.681,0.168,0.804,0.736,0.780
60,0.677,0.157,0.814,0.738,0.784
65,0.680,0.168,0.804,0.736,0.779
70,0.675,0.165,0.806,0.734,0.779
75,0.674,0.158,0.812,0.735,0.782
80,0.686,0.167,0.806,0.740,0.785
85,0.688,0.158,0.816,0.745,0.786
90,0.691,0.169,0.805,0.743,0.786
95,0.681,0.160,0.812,0.740,0.783
100,0.681,0.170,0.802,0.736,0.780

2016/07/02 19:11:53 experiment close-the-world
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.100,1.900,0.050,0.067,0.050
5,0.288,0.515,0.389,0.324,0.469
