pct,k2-ctw,k2-hp,k2-wf,k4-ctw,k4-hp,k4-wf
0,0.000,0.000,0.832,0.000,0.000,0.914
5,0.986,1.000,0.832,0.983,1.000,0.914
10,1.000,1.000,0.832,1.000,1.000,0.914
15,0.994,1.000,0.832,1.000,1.000,0.914
20,1.000,1.000,0.832,1.000,1.000,0.914
25,1.000,1.000,0.832,1.000,1.000,0.914
30,0.992,1.000,0.832,1.000,1.000,0.914
35,1.000,1.000,0.832,1.000,1.000,0.914
40,1.000,1.000,0.832,1.000,1.000,0.914
45,0.997,1.000,0.832,1.000,1.000,0.914
50,1.000,1.000,0.832,1.000,1.000,0.914
55,1.000,1.000,0.832,1.000,1.000,0.914
60,0.997,1.000,0.832,0.997,1.000,0.914
65,1.000,1.000,0.832,1.000,1.000,0.914
70,0.998,1.000,0.832,0.998,1.000,0.914
75,0.998,0.998,0.832,1.000,1.000,0.914
80,1.000,1.000,0.832,1.000,1.000,0.914
85,0.998,1.000,0.832,0.998,1.000,0.914
90,0.999,0.999,0.832,0.998,0.998,0.914
95,0.999,0.998,0.832,1.000,1.000,0.914
100,0.999,0.999,0.832,1.000,1.000,0.914
